Date,Open,High,Low,Close*
18-Nov-18,"25,392.61","25,392.61","24,268.74","24,285.95"
11-Nov-18,"25,959.33","25,966.71","24,787.79","25,413.22"
3-Nov-18,"25,261.47","26,277.82","25,261.47","25,989.30"
27-Oct-18,"24,818.98","25,578.98","24,122.23","25,270.83"
20-Oct-18,"25,492.14","25,561.34","24,445.19","24,688.31"
13-Oct-18,"25,332.46","25,817.68","25,236.01","25,444.34"
6-Oct-18,"26,399.45","26,539.94","24,899.77","25,339.99"
29-Sep-18,"26,598.36","26,951.81","26,301.81","26,447.05"
22-Sep-18,"26,705.25","26,709.94","26,349.34","26,458.31"
15-Sep-18,"26,151.66","26,769.16","26,030.35","26,743.50"
8-Sep-18,"25,991.91","26,211.11","25,754.32","26,154.67"
1-Sep-18,"25,916.07","26,073.68","25,805.95","25,916.54"
25-Aug-18,"25,882.71","26,167.94","25,879.77","25,964.82"
18-Aug-18,"25,727.70","25,888.82","25,608.02","25,790.35"
11-Aug-18,"25,327.19","25,728.16","24,965.77","25,669.32"
4-Aug-18,"25,437.43","25,692.72","25,222.88","25,313.14"
28-Jul-18,"25,439.32","25,500.16","25,120.07","25,462.58"
21-Jul-18,"25,036.90","25,587.24","24,983.33","25,451.06"
14-Jul-18,"25,025.58","25,215.32","24,979.64","25,058.12"
7-Jul-18,"24,519.20","25,043.21","24,518.43","25,019.41"
30-Jun-18,"24,161.53","24,520.29","24,077.56","24,456.48"
23-Jun-18,"24,463.73","24,569.02","23,997.21","24,271.41"
16-Jun-18,"24,944.28","25,003.10","24,406.63","24,580.89"
9-Jun-18,"25,336.67","25,402.83","24,894.38","25,090.48"
2-Jun-18,"24,727.55","25,326.09","24,710.82","25,316.53"
26-May-18,"24,606.59","24,714.48","24,247.84","24,635.21"
19-May-18,"24,883.06","25,086.49","24,605.90","24,753.09"
12-May-18,"24,879.37","24,994.19","24,629.39","24,715.09"
5-May-18,"24,317.66","24,868.65","24,198.34","24,831.17"
28-Apr-18,"24,410.41","24,498.23","23,531.31","24,262.51"
21-Apr-18,"24,488.07","24,579.94","23,823.08","24,311.19"
14-Apr-18,"24,483.15","24,858.97","24,375.04","24,462.94"
7-Apr-18,"24,037.52","24,646.45","23,954.83","24,360.14"
31-Mar-18,"24,076.60","24,622.26","23,344.52","23,932.76"
24-Mar-18,"23,825.74","24,446.22","23,708.73","24,103.11"
17-Mar-18,"24,893.69","24,977.65","23,509.06","23,533.20"
11-Mar-18,"25,372.44","25,449.15","24,668.83","24,946.51"
4-Mar-18,"24,471.31","25,336.33","24,387.15","25,335.74"
25-Feb-18,"25,403.35","25,800.35","24,217.76","24,538.06"
18-Feb-18,"25,124.91","25,313.91","24,792.99","25,309.99"
11-Feb-18,"24,337.76","25,432.42","24,290.48","25,219.38"
4-Feb-18,"25,337.87","25,520.53","23,360.29","24,190.90"
28-Jan-18,"26,584.28","26,608.90","25,490.66","25,520.96"
21-Jan-18,"26,025.32","26,616.71","25,974.65","26,616.71"
14-Jan-18,"25,987.62","26,153.42","25,702.99","26,071.72"
7-Jan-18,"25,308.40","25,810.43","25,235.41","25,803.19"
31-Dec-17,"24,809.35","25,299.79","24,741.70","25,295.87"
24-Dec-17,"24,715.84","24,871.66","24,708.42","24,719.22"
17-Dec-17,"24,739.56","24,876.07","24,697.11","24,754.06"
10-Dec-17,"24,338.11","24,688.62","24,314.74","24,651.74"
3-Dec-17,"24,424.11","24,534.04","24,101.24","24,329.16"
26-Nov-17,"23,552.86","24,327.82","23,545.02","24,231.59"
19-Nov-17,"23,370.71","23,617.80","23,360.58","23,557.99"
12-Nov-17,"23,367.47","23,492.19","23,242.75","23,358.24"
4-Nov-17,"23,533.96","23,602.12","23,310.02","23,422.21"
28-Oct-17,"23,405.75","23,557.06","23,327.87","23,539.19"
21-Oct-17,"23,348.95","23,485.25","23,251.11","23,434.19"
14-Oct-17,"22,892.92","23,328.84","22,887.12","23,328.63"
7-Oct-17,"22,779.73","22,905.33","22,739.38","22,871.72"
30-Sep-17,"22,423.47","22,777.04","22,416.00","22,773.67"
23-Sep-17,"22,320.47","22,405.63","22,219.11","22,405.09"
16-Sep-17,"22,297.92","22,419.51","22,283.35","22,349.59"
9-Sep-17,"21,927.79","22,275.02","21,927.79","22,268.34"
2-Sep-17,"21,912.37","21,921.09","21,709.63","21,797.79"
26-Aug-17,"21,832.50","22,038.97","21,673.58","21,987.56"
19-Aug-17,"21,671.36","21,912.83","21,600.34","21,813.67"
12-Aug-17,"21,945.64","22,085.71","21,641.63","21,674.51"
5-Aug-17,"22,100.20","22,179.11","21,842.74","21,858.32"
29-Jul-17,"21,863.39","22,092.81","21,861.71","22,092.81"
22-Jul-17,"21,577.78","21,841.18","21,496.13","21,830.31"
15-Jul-17,"21,633.97","21,661.91","21,471.14","21,580.07"
8-Jul-17,"21,381.23","21,681.53","21,279.30","21,637.74"
1-Jul-17,"21,392.30","21,562.75","21,305.38","21,414.34"
24-Jun-17,"21,434.68","21,506.21","21,197.08","21,349.63"
17-Jun-17,"21,444.75","21,535.03","21,333.89","21,394.76"
10-Jun-17,"21,259.95","21,391.97","21,186.15","21,384.28"
3-Jun-17,"21,195.03","21,305.35","21,113.31","21,271.97"
27-May-17,"21,045.49","21,225.04","20,942.57","21,206.29"
20-May-17,"20,867.77","21,112.32","20,860.16","21,080.28"
13-May-17,"20,923.63","21,033.53","20,553.45","20,804.84"
6-May-17,"20,991.26","21,046.85","20,798.90","20,896.61"
29-Apr-17,"20,962.73","21,006.94","20,847.95","21,006.94"
22-Apr-17,"20,723.59","21,070.90","20,723.59","20,940.51"
15-Apr-17,"20,484.75","20,644.41","20,379.55","20,547.76"
8-Apr-17,"20,668.22","20,750.33","20,453.25","20,453.25"
1-Apr-17,"20,665.17","20,887.50","20,517.82","20,656.10"
25-Mar-17,"20,488.35","20,753.78","20,412.80","20,663.22"
18-Mar-17,"20,916.27","20,970.04","20,529.67","20,596.72"
12-Mar-17,"20,899.28","21,000.11","20,786.31","20,914.62"
5-Mar-17,"20,955.71","20,986.43","20,777.16","20,902.98"
26-Feb-17,"20,808.71","21,169.11","20,774.76","21,005.71"
19-Feb-17,"20,663.43","20,840.70","20,663.37","20,821.76"
12-Feb-17,"20,338.54","20,639.87","20,322.95","20,624.05"
5-Feb-17,"20,025.61","20,298.21","20,002.81","20,269.37"
29-Jan-17,"20,028.62","20,081.48","19,784.77","20,071.46"
22-Jan-17,"19,794.79","20,125.58","19,732.36","20,093.78"
15-Jan-17,"19,848.82","19,882.99","19,677.94","19,827.25"
8-Jan-17,"19,931.41","19,973.42","19,770.47","19,885.73"
1-Jan-17,"19,872.86","19,999.63","19,775.93","19,963.80"
