JNJ,,,,
Date,Open,High,Low,Close*
23-Nov-18,141.85,142.73,141.6,142.23
18-Nov-18,146.43,148.75,140.78,142.23
11-Nov-18,144.99,146.75,142.48,145.99
3-Nov-18,141,145.79,139,145.34
27-Oct-18,136.99,142,136.22,140.68
20-Oct-18,138.61,140.11,135.05,136.97
13-Oct-18,133.88,140,133.51,139.05
6-Oct-18,138.9,140.46,132.23,133.87
29-Sep-18,138.26,141.27,137.32,139.1
22-Sep-18,142.1,142.5,137.41,138.17
15-Sep-18,139.33,143.13,139.18,142.88
8-Sep-18,137.53,140.48,137.06,139.49
1-Sep-18,134.69,137.69,133.44,137.32
Dividend,0.9,,,
25-Aug-18,135.5,136.05,133.89,134.69
18-Aug-18,134.93,137.43,134,135.95
11-Aug-18,130.72,135,128.93,134.47
4-Aug-18,131.64,132.53,130.26,130.75
28-Jul-18,131.78,133,130.9,131.95
21-Jul-18,125.75,132.27,125.45,131.55
14-Jul-18,126,130.54,124.16,125.85
7-Jul-18,126.22,128.21,125.32,125.93
30-Jun-18,121.34,125.92,120.11,125.75
23-Jun-18,122.82,123.43,121.07,121.34
16-Jun-18,121.61,123.38,120.25,122.84
9-Jun-18,124.27,124.34,121.24,122.61
2-Jun-18,121.85,124.85,120.9,124.06
26-May-18,120.5,121.58,118.62,121.26
Dividend,0.9,,,
19-May-18,124.62,124.99,121.13,121.47
12-May-18,127.35,127.61,123.28,124.24
5-May-18,124.14,127.6,121.69,127.24
28-Apr-18,128.86,128.98,121.28,124.19
21-Apr-18,126.88,129.22,125.28,128.27
14-Apr-18,131.41,132.88,126.17,126.66
7-Apr-18,128.65,131.42,127.68,130.62
31-Mar-18,127.82,131.2,123.54,128.1
24-Mar-18,126.41,129.1,125.21,128.15
17-Mar-18,133.35,133.47,124.9,125.1
11-Mar-18,133.8,135.7,131.9,133.68
4-Mar-18,128.63,133.82,127.27,133.8
Dividend,0.84,,,
25-Feb-18,131.71,133.41,126.52,128.82
18-Feb-18,132.87,133.45,129.48,132.02
11-Feb-18,130,134.45,127.68,133.15
4-Feb-18,136.58,137,122.15,129.53
28-Jan-18,144.85,144.94,137,137.68
21-Jan-18,147.01,148.14,141.62,145.33
14-Jan-18,146.42,148.32,145.48,147.36
7-Jan-18,141.7,146.42,140.92,145.76
31-Dec-17,139.66,141.82,138.72,141.71
24-Dec-17,140.46,141.21,139.58,139.72
17-Dec-17,142.56,143.8,140.04,140.12
10-Dec-17,140.9,143.62,139.83,142.46
3-Dec-17,140.62,141.96,138.93,140.59
Dividend,0.84,,,
26-Nov-17,137.51,140.63,137.48,139.98
19-Nov-17,138.15,139.26,136.6,138.01
12-Nov-17,139.01,140.28,137.89,138
4-Nov-17,140.01,141.87,138.61,139.56
28-Oct-17,141.08,141.21,138.98,140.08
21-Oct-17,142.13,144.35,140.2,141.78
14-Oct-17,136.45,143.62,135.54,142.4
7-Oct-17,133.66,137.52,132.92,136.43
30-Sep-17,130.16,133.31,130.02,133.22
23-Sep-17,131.47,131.94,129.05,130.01
16-Sep-17,134.44,135.79,131.27,131.39
9-Sep-17,131.37,135.45,131.02,134.45
2-Sep-17,130.72,132.52,129.72,130.98
26-Aug-17,131.68,132.65,130.9,131.03
Dividend,0.84,,,
19-Aug-17,132.28,134.79,131.62,131.68
12-Aug-17,134.2,134.97,132.38,132.63
5-Aug-17,133.09,134.49,131.4,133.1
29-Jul-17,132.14,134.01,131.5,133.18
22-Jul-17,134.99,135.16,129.57,131.85
15-Jul-17,132.71,137.08,131.08,135.31
8-Jul-17,132.74,133,130.48,132.6
1-Jul-17,132.79,134.06,131.69,132.54
24-Jun-17,136.48,136.9,132.28,132.29
17-Jun-17,134.15,137,133.49,136.43
10-Jun-17,131.53,134.6,131.4,134.35
3-Jun-17,129.97,131.7,129.8,131.53
27-May-17,126.7,130.14,126.19,130.08
Dividend,0.84,,,
20-May-17,126.63,128.15,126.33,126.92
13-May-17,124.41,128.37,124.33,127
6-May-17,123.53,124.1,122.34,123.64
29-Apr-17,123.4,123.95,122.86,123.51
22-Apr-17,122.52,124.31,122.15,123.47
15-Apr-17,125.02,125.81,120.95,121.76
8-Apr-17,124.87,125.65,123.95,124.99
1-Apr-17,124.73,125.6,124.22,124.92
25-Mar-17,125.16,126.14,124.03,124.55
18-Mar-17,128.04,128.45,125.13,125.48
12-Mar-17,125.83,129,125.79,128.06
5-Mar-17,123.01,126.49,122.39,126.21
26-Feb-17,122.13,124.45,121.94,123.79
Dividend,0.8,,,
19-Feb-17,118.4,122.74,118.32,122.73
12-Feb-17,115.28,118.9,115.22,118.86
5-Feb-17,113.46,115.99,112.62,115.24
29-Jan-17,113.4,113.66,112.43,113.64
22-Jan-17,114.51,114.77,110.76,113.38
15-Jan-17,113.94,115.1,113.67,114.15
8-Jan-17,116.35,117,113.37,114.6
1-Jan-17,115.78,117,115.23,116.3
